city_name,state,is_saturated,difference
Bellflower,California,true,-489
Bellingham,Washington,true,-641
Bellport,New York,true,-2453
Bellville,Ohio,true,-587
Bellville,Texas,true,-806
Belmar,New Jersey,true,-1828
Belmont,California,true,-1231
Belmont,North Carolina,true,-1379
Belton,Texas,true,-754
Bemidji,Minnesota,true,-1471
Bemus Point,New York,true,-1606
Bend,Oregon,true,-1089
Benicia,California,true,-316
Bennington,Vermont,false,174
Benton,Arkansas,true,-266
Benton,Kentucky,true,-446
Benton,Pennsylvania,true,-380
Benton,Tennessee,true,-593
Benton Harbor,Michigan,true,-1290
Bentonville,Arkansas,true,-535
Berea,Kentucky,true,-632
Berea,Ohio,true,-653
Berkeley,California,true,-501
Berkeley Springs,West Virginia,true,-941
Berkeley Township,New Jersey,true,-658
Berlin,Maryland,true,-400
Berlin,New Hampshire,true,-835
Berlin,Ohio,true,-890
Bermuda Dunes,California,true,-405
Berrien Springs,Michigan,true,-1283
Berthoud,Colorado,false,579
Berwyn,Illinois,true,-1195
Bessemer,Michigan,true,-108
Bethany Beach,Delaware,false,1408
Bethel,Maine,false,169
Bethesda,Maryland,true,-759
Bethlehem,New Hampshire,true,-1162
Bethlehem,Pennsylvania,true,-810
Bettendorf,Iowa,true,-475
Beulah,Michigan,true,-1265
Beverly,Massachusetts,true,-1148
Beverly Hills,California,true,-1304
Biddeford,Maine,false,149
Big Bear,California,true,-564
Big Bear City,California,true,-377
Big Bear Lake,California,false,897
Big Canoe,Georgia,true,-1869
Bigfork,Montana,true,-1043
Big Indian,New York,true,-499
Big Lake,Alaska,false,546
Big Pine Key,Florida,false,466
Big Sky,Montana,false,535
Big Spring,Texas,true,-967
Big Timber,Montana,true,-1204
Billings,Montana,true,-645
Biloxi,Mississippi,true,-289
Binghamton,New York,true,-171
Birchwood,Wisconsin,true,-1527
Bird In Hand,Pennsylvania,true,-680
Birmingham,Alabama,true,-566
Birmingham,Michigan,true,-1293
Bisbee,Arizona,true,-155
Biscayne Park,Florida,true,-3431
Bishop,California,false,317
Bismarck,Arkansas,true,-281
Bismarck,North Dakota,true,-265
Biwabik,Minnesota,true,-719
Black Butte Ranch,Oregon,true,-1012
Black Hawk,Colorado,true,-1385
Black Mountain,North Carolina,true,-1262
Black River Falls,Wisconsin,true,-101
Blacksburg,Virginia,false,830
Blaine,Washington,true,-995
Blairsville,Georgia,true,-901
Blakeslee,Pennsylvania,true,-1700
Blanco,Texas,true,-1129
Blanding,Utah,true,-783
Bloomfield,Connecticut,false,17
Bloomington,Illinois,true,-392
Bloomington,Indiana,true,-565
Bloomsburg,Pennsylvania,true,-708
Blowing Rock,North Carolina,true,-1873
Blue Eye,Missouri,true,-1678
Bluefield,West Virginia,true,-376
Blue Hill,Maine,true,-418
Bluemont,Virginia,true,-703
Blue Ridge,Georgia,true,-1362
Blue River,Colorado,false,191
Bluffdale,Utah,true,-669
Bluffton,South Carolina,true,-227
Boalsburg,Pennsylvania,true,-1401
Boca Grande,Florida,false,2080
Boca Raton,Florida,true,-855
Bodega Bay,California,true,-1253
Boerne,Texas,true,-361
Boise,Idaho,true,-776
Bokeelia,Florida,true,-190
Bolinas,California,true,-2860
Bolivar,West Virginia,true,-632
Bolivar Peninsula,Texas,true,-1124
Bolton,New York,true,-2525
Bonita,California,true,-343
Bonita Springs,Florida,true,-143
Bonners Ferry,Idaho,true,-766
Boone,Iowa,true,-395
Boone,North Carolina,true,-1592
Boothbay,Maine,true,-95
Boothbay Harbor,Maine,true,-615
Borrego Springs,California,true,-90
Bossier City,Louisiana,true,-383
Boston,Massachusetts,true,-1265
Bothell,Washington,true,-844
Boulder,Colorado,true,-396
Boulder Creek,California,false,676
Bountiful,Utah,true,-509
Bourbonnais,Illinois,true,-339
Bourne,Massachusetts,true,-2017
Bovina Center,New York,true,-1686
Bow,Washington,true,-1049
Bowie,Maryland,false,141
Bowling Green,Kentucky,true,-653
Bowling Green,Ohio,true,-536
Boyne City,Michigan,true,-1627
Boyne Falls,Michigan,true,-1640
Boynton Beach,Florida,false,152
Bozeman,Montana,true,-1182
Bracey,Virginia,true,-1760
Bradenton,Florida,false,517
Bradenton Beach,Florida,false,1922
Bradley,California,true,-1211
Bradley Beach,New Jersey,true,-806
Brainerd,Minnesota,true,-1111
Branchport,New York,true,-638
Brandon,Florida,true,-296
Brandon,Mississippi,true,-561
Branford,Connecticut,true,-468
Branford,Florida,true,-473
Branson,Missouri,true,-1318
Branson West,Missouri,true,-1530
Brattleboro,Vermont,true,-303
Breaux Bridge,Louisiana,true,-251
Breckenridge,Colorado,false,1898
Breckenridge,Texas,false,97
Bremerton,Washington,true,-1008
Brenham,Texas,true,-378
Brentwood,Tennessee,true,-538
Bretton Woods,New Hampshire,true,-1409
Brevard,North Carolina,true,-1188
Brewster,Massachusetts,true,-2396
Brian Head,Utah,true,-201
Bridgehampton,New York,true,-7497
Bridgeport,Connecticut,true,-178
Bridgewater,Vermont,false,68
Bridgman,Michigan,true,-965
Bridgton,Maine,true,-1131
Brigantine,New Jersey,true,-2242
Brighton,Colorado,true,-353
Brighton,Michigan,true,-1429
Brighton,Utah,false,3001
Brighton,Vermont,true,-14
Brinnon,Washington,true,-974
Bristol,Maine,true,-578
Bristol,New Hampshire,true,-835
Bristol,Rhode Island,true,-1151
Bristol,Tennessee,true,-877
Bristol,Virginia,true,-542
Broadalbin,New York,true,-1244
Broadway,Virginia,true,-603
Broken Arrow,Oklahoma,false,85
Broken Bow,Oklahoma,true,-1489
Bronston,Kentucky,true,-1346
Bronx,New York,true,-892
Brookeland,Texas,false,430
Brookings,Oregon,true,-827
Brooklin,Maine,false,92
Brookline,Massachusetts,true,-1745
Brooklyn,New York,true,-1134
Brooksville,Florida,false,149
Brooksville,Maine,true,-1289
Brooktondale,New York,false,246
Broomfield,Colorado,true,-638
Brownsville,Texas,true,-247
Brownwood,Texas,true,-584
Brunswick,Georgia,true,-929
Brunswick,Maine,true,-1091
Brunswick County,North Carolina,true,-569
Bryan,Texas,true,-800
Bryant,Alabama,true,-478
Bryant,Arkansas,true,-524
Bryn Mawr,Pennsylvania,true,-122
Bryson City,North Carolina,true,-1222
Buckeye,Arizona,true,-397
Buckeye Lake,Ohio,true,-1307
Bucksport,Maine,true,-1633
Buda,Texas,true,-527
Buena Vista,Colorado,true,-1206
Buena Vista,Virginia,false,137
Buffalo,New York,true,-767
Buffalo,Wyoming,true,-828
Buford,Georgia,true,-469
Bullard,Texas,true,-636
Bullhead City,Arizona,true,-582
Bumpass,Virginia,false,304
Burbank,California,true,-918
Burdett,New York,true,-1293
Burien,Washington,true,-796
Burke,Vermont,true,-13
Burkesville,Kentucky,true,-1053
Burkeville,Texas,true,-495
Burley,Idaho,true,-381
Burlingame,California,true,-384
Burlington,Iowa,true,-833
Burlington,North Carolina,true,-1520
Burlington,Vermont,true,-550
Burlington,Wisconsin,true,-846
Burnet,Texas,false,243
Burnside,Kentucky,true,-1162
Burnsville,North Carolina,true,-1080
Burt,New York,true,-624
Burton,Texas,false,155
Bushkill,Pennsylvania,true,-1429
Butler,Ohio,true,-774
Butler,Tennessee,true,-1333
Butte,Montana,true,-678
Buxton,North Carolina,true,-677
Byrdstown,Tennessee,true,-1057
Cable,Wisconsin,true,-845
Cadillac,Michigan,true,-1113
Cadiz,Kentucky,true,-499
Cairo,New York,true,-722
Calabasas,California,true,-2411
Calabash,North Carolina,true,-505
Caldwell,Idaho,true,-370
Caldwell,Texas,true,-801
Calico Rock,Arkansas,false,45
Calistoga,California,true,-1950
Callicoon,New York,true,-1399
Calumet Township,Michigan,true,-429
Calverton,New York,true,-974
Camano,Washington,true,-779
Camano Island,Washington,true,-715
Camarillo,California,true,-1198
Camas,Washington,true,-685
Cambria,California,true,-2658
Cambridge,Maryland,true,-1383
Cambridge,Massachusetts,true,-250
Cambridge,New York,true,-1349
Cambridge,Vermont,true,-663
Camden,Maine,true,-1198
Camden,South Carolina,true,-956
Camdenton,Missouri,true,-749
Campbell,California,true,-1095
Campbellsville,Kentucky,true,-650
Camp Connell,California,true,-236
Camp Sherman,Oregon,true,-2002
Campton,Kentucky,true,-445
Campton,New Hampshire,true,-832
Camp Verde,Arizona,true,-363
Canaan,New York,true,-811
Canadian,Oklahoma,true,-438
Canandaigua,New York,true,-1447
Canastota,New York,false,490
Candler,North Carolina,true,-603
Cane Beds,Arizona,true,-421
Cannon Beach,Oregon,true,-466
Cañon City,Colorado,true,-422
Canton,Georgia,true,-560
Canton,New York,false,366
Canton,North Carolina,true,-941
Canton,Ohio,true,-406
Canton,Texas,true,-160
Canyon,Texas,true,-351
Canyon Lake,Texas,true,-850
Cape Canaveral,Florida,false,111
Cape Charles,Virginia,true,-814
Cape Coral,Florida,false,234
Cape Elizabeth,Maine,true,-2680
Cape Girardeau,Missouri,true,-167
Cape May,New Jersey,true,-1560
Cape San Blas,Florida,false,973
Cape Vincent,New York,true,-981
Capitola,California,true,-1775
Capitol Heights,Maryland,false,82
Captain Cook,Hawaii,true,-303
Captiva,Florida,false,8071
Carbondale,Colorado,true,-515
Carbondale,Illinois,true,-589
Carlisle,Pennsylvania,true,-447
Carlsbad,California,true,-880
Carlsbad,New Mexico,true,-179
Carlton,Oregon,true,-1240
Carlton Landing,Oklahoma,false,30
Carmel,California,true,-3043
Carmel,Indiana,false,106
Carmel-by-the-sea,California,true,-1608
Carmel Valley,California,true,-857
Carmichael,California,true,-674
Carmine,Texas,false,140
Carnegie,Pennsylvania,true,-697
